method,rank,feedback_length,participant_id,sample_key,feedback,Good,Bad,Metric
change,3,92,taesoo,7291,"""due to the lack of these details in the first image"": The image doesn't lack these details.",,- due to the lack of these details in the first image,Detaileness
change,2,204,hyehyun,7291,"elongated snout and pointed ears, which are key identifying features of a whippet: I can know the difference
due to the lack of these details in the first image.: Can also understand the reason with model","elongated snout and pointed ears, which are key identifying features of a whippet",,Model's reasoning
change,1,50,jaesang,7291,elongated snout and pointed ears: clear difference,elongated snout and pointed ears,,Explanation of clear diff
change,1,80,Gosu,7291,It is also mentioning the problem on the picture itself not only the similarity.,,,
change,2,53,Sehoon,7291,It has the specific traits that model had to capture.,,,
change,2,41,sean,7291,"Similar to 1st, but not really in detail.",,,
change,3,224,Jiho Kim,7291,"The model likely failed to recognize the elongated snout and pointed ears, which are key identifying features of a whippet, due to the lack of these details in the first image.

-> there is no wrong points in the explanation","The model likely failed to recognize the elongated snout and pointed ears, which are key identifying features of a whippet, due to the lack of these details in the first image
",,Factuality
change,3,39,Shujun,7291,The ear and snout are clear in this pic,,,
change,3,49,minju,7291,which are key identifying features of a whippet:,,,
change,1,79,Daeheon Jeong,7291,elongated snout and pointed ears: a very specific explanation of the appearance,elongated snout and pointed ears,,Detailness
change,3,204,taesoo,11513,"""overall coloration and the presence of rosettes, which are common characteristics of leopards"": Focuses only on why the model might have been confused without explaining what it should have done instead.",,"overall coloration and the presence of rosettes, which are common characteristics of leopards",Model's reasoning > Model's confusion
change,3,277,hyehyun,11513,"coloration and the presence of rosettes, which are common characteristics of leopards:  I can know the information about leopards
which are common characteristics of leopards, leading it to incorrectly classify the animal as a leopard.: but this part don't give any information","coloration and the presence of rosettes, which are common characteristics of leopards",but this part don't give any information,Informativeness
change,1,39,eunyoung,7291,"short, include what makes the different",,,
change,3,115,taesoo,11533,"""coloration and posture of the animal in the first image"": Provides explanation of why the model was confused only.",,coloration and posture of the animal in the first image,Model's reasoning > Model's confusion
change,2,78,sean,11513,I like that it explained the common characteristics that leopards should have.,,,
change,2,126,Jenny,7291,- recognize the elongated snout and pointed ears: it actually identify the distinct features that is not showing in the image,,,
change,1,102,Heechan,7291,due to the lack of these details in the first image: Good because it depicts the highly likely reason.,due to the lack of these details in the first image,,Model's reasoning > Model's confusion
change,2,100,Gosu,11513,It is not specifically explaining about the different coloration and it requires more investigation.,,,
change,2,86,Daeheon Jeong,11513,"overall coloration and the presence of rosettes: detailed, precise visual description.",,,
change,2,275,hyunwoo,7291,"elongated snout and pointed ears, which are key identifying features of a whippet: I like it discerned the specific feature of whippet that the model should discover. However without the explanation on the commonalities it'd be hard to judge the importance of these features.","elongated snout and pointed ears, which are key identifying features of a whippet",,Direct explanation on the specific part of the image
change,3,97,Minbeom,11513,"common characteristics of leopards, leading it to incorrectly classify the animal as a leopard.

",,,
change,3,137,Sehoon,11513,"I think ""leading it to incorrectly classify the animal as a leopard."" this kind of part is not needed, just increasing the cognitive load",,leading it to incorrectly classify the animal as a leopard,Informativeness
change,2,120,taesoo,4351,"""vibrant, glowing elements often associated with digital art or fantasy themes."": detailed explanation but is incorrect.",,"vibrant, glowing elements often associated with digital art or fantasy themes.",factuality
change,3,107,hyehyun,11533,coloration and posture of the animal in the first image: not sure what this mean.. want more clarification.,,coloration and posture of the animal in the first image,Vagueness
change,3,128,daeun,11533,"The posture itself seems not to be the unique characteristic of the leopard, cause other animals could have the same posture too",,,
change,3,84,Hayeon,7291,I think the key factor to differentiate two is body shape but it does not mention it,,,
change,3,136,bekzat,7291,"i like that it points to lack of parts of the image, however, even with that information, these two species are difficult to tell apart.",,,
change,4,100,sean,11533,"Just... too general. It's not an explanation; rather it's just saying that ""they just look similar~""",,,Detailness
change,1,144,Saelyne,4351,"which resembles the vibrant, glowing elements often associated with digital art or fantasy themes. : explains why it misunderstood as black swan","which resembles the vibrant, glowing elements often associated with digital art or fantasy themes",,Model's reasoning
change,1,47,jaesang,11513,presence of rosettes: explains clear difference,presence of rosettes,,Explanation of clear diff
change,2,46,Seungju,11513,omited unclear which features they focused on.,,,
change,3,244,Jiho Kim,11513,"The model may have been misled by the overall coloration and the presence of rosettes, which are common characteristics of leopards, leading it to incorrectly classify the animal as a leopard.

-> same explanation with 2nd, but more summarized.","The model may have been misled by the overall coloration and the presence of rosettes, which are common characteristics of leopards, leading it to incorrectly classify the animal as a leopard.",,Verbosity
change,3,102,Sehoon,11533,"It's explanation simply says ""coloration and posture"", not indicating so which part we actually focus.",coloration and posture,,Direct explanation on the specific part of the image
change,3,122,minju,11513,overall coloration and the presence of rosettes: common characteristic is helpful to understand the error but kinda vague?,,,
change,3,143,hyehyun,4351,This could have confused the model into identifying the swan as a fantastical creature rather than a real one: Is there this to do with goose??,,This could have confused the model into identifying the swan as a fantastical creature rather than a real one,Relateness with the image
change,2,85,hyunwoo,11513,overall coloration and the presence of rosettes: I wish it was a bit more informative,,overall coloration and the presence of rosettes,Informativeness
change,2,78,yoonseo,11513,which are common characteristics of leopards: only proposes the commonalities,,which are common characteristics of leopards,Commonality
change,1,68,Gosu,11533,It provides novel perspective (posture) than others and rich enough.,,,
change,3,128,Heechan,11513,which are common characteristics of leopards: Bad because it only says about common confusing point but not a distinctive point.,,which are common characteristics of leopards,Commonality
change,1,94,Minbeom,4351,"have been misled by the stylized, colorful background in the first image, 

convincing reason!","have been misled by the stylized, colorful background in the first image",,Model's reasoning
change,4,43,eunyoung,11533,"Does not discuss what makes it 'resemble' 
",,,Model's reasoning
change,3,212,sean,4351,"I don't really sympathize to this reason... I want the comparison between black swan and goose (what is similar, what is different) so that I can understand the reason why the model misunderstood the two species.",,,Explanation of clear diff
change,3,60,daeun,4351,"Too conceptual issue I guess, it makes sense but less likely",,,Vagueness
change,3,152,Daeheon Jeong,11533,"coloration and posture of the animal in the first image, which closely resembles a leopard's appearance: missing description on how the model is misled.",,,
change,3,107,Sehoon,4351,"Black swan and geese are actually very distinguishable... ""as a fantastical creature"" feels like an excuse.",,,
change,3,289,Jiho Kim,11533,"The model may have been misled by the coloration and posture of the animal in the first image, which closely resembles a leopard's appearance, leading to a misclassification.

-> I don't know anything about cheetah and leopard, but I'm sure that posture is not important to classify those.",,"The model may have been misled by the coloration and posture of the animal in the first image, which closely resembles a leopard's appearance, leading to a misclassification.
",Informativeness
change,2,187,Jenny,11513,"-  verall coloration and the presence of rosettes, which are common characteristics of leopards : it makes sense that the model may have mistaken background pattens as leopard's patterns.","verall coloration and the presence of rosettes, which are common characteristics of leopards",,Model's reasoning
change,3,68,jaesang,11533,coloration and posture of the animal: vague superficial differences,,coloration and posture of the animal,Vagueness
change,1,133,Gosu,4351,colorful' background that explanation gives me some kind of opportunity about thinking why it is misclassified it into 'black' swan.,,,
change,1,192,bekzat,11513,"i like that it highlights the environment and colors used for depiction.
i like that it mentions distinct features of leopards
i don't like that it does not mention missed features of cheetah.",,,
change,2,130,Daeheon Jeong,4351,"by the stylized, colorful background in the first image, which resembles the vibrant: assumptive, which is not a good explanation.",,"by the stylized, colorful background in the first image, which resembles the vibrant",Model's assumption
change,1,32,eunyoung,4351,I don't think that is a reason.,,,
change,2,159,Hayeon,11513,presence of rosettes : it is not an enough reason to misclassify because it is a common feature. I'm curious about the reason why it misclassified to leopard .,,presence of rosettes,Commonality
change,3,79,Heechan,11533,coloration and posture of the animal: Bad because this can't be the improvement,,,
change,2,136,hyunwoo,11533,"the coloration and posture of the animal in the first image, which closely resembles a leopard's appearance: I wish it was more detailed",,"the coloration and posture of the animal in the first image, which closely resembles a leopard's appearance",Detailness
change,3,180,jaesang,4351,"stylized, colorful background in the first image, which resembles the vibrant, glowing elements often associated with digital art or fantasy themes: doesn't seem conveying to human",,"stylized, colorful background in the first image, which resembles the vibrant, glowing elements often associated with digital art or fantasy themes",
change,3,37,Shujun,4351,But the edge of animal is very clear.,,,
change,3,97,minju,11533,"coloration and posture: it is the reason for error, but too broad. more like keyword or attribute",,coloration and posture,Commonality
change,3,77,bekzat,11533,"i don't like that explanation is abstract.
i like that it is related to error",,,
change,3,53,Jenny,11533,- similar to explanation 4 but slightly less specific,,,
change,2,69,yoonseo,4351,the art style is an excuse here... where I do not have many knowledge,,,
change,3,89,Heechan,4351,digital art or fantasy themes: Bad because Fantasy is not a main reason of misprediction.,,digital art or fantasy themes,
change,3,41,Hayeon,11533,does not explain the distinct difference,,,
change,1,322,hyunwoo,4351,"stylized, colorful background in the first image, which resembles the vibrant, glowing elements often associated with digital art or fantasy themes: I think this part is a more important feature compared to the reasons pointed out by other explanation (and tbh I think this is a swan; geese do not have that S-curved neck)","stylized, colorful background in the first image, which resembles the vibrant, glowing elements often associated with digital art or fantasy themes",,Important feature of image
change,3,426,Jiho Kim,4351,"The model may have been misled by the stylized, colorful background in the first image, which resembles the vibrant, glowing elements often associated with digital art or fantasy themes. This could have confused the model into identifying the swan as a fantastical creature rather than a real one.

-> explanation doesn't show any good clue about difference between swan and goose. Just depicting the background of the object.",,"The model may have been misled by the stylized, colorful background in the first image, which resembles the vibrant, glowing elements often associated with digital art or fantasy themes. This could have confused the model into identifying the swan as a fantastical creature rather than a real one.",Explanation of clear diff
change,3,55,bekzat,4351,i don't like that it classifes black swan as fictional.,,,
change,3,144,minju,4351,"which resembles the vibrant, glowing elements often associated with digital art or fantasy themes: seems compelling, but no specific description","which resembles the vibrant, glowing elements often associated with digital art or fantasy themes",,
change,3,122,Jenny,4351,"- misled by the stylized, colorful background in the first image:  if it focuses on the color: color confusion makes sense",,,
change,1,1,hayeon2,7291,x,,,
change,1,1,hayeon2,11513,x,,,
change,1,1,hayeon2,11533,x,,,
change,3,222,hayeon2,4351,"stylized, colorful background is not a reasonable explanation for classification
 identifying the swan as a fantastical creature rather than a real one. -> the task is to classify goose and black swan so it's inappropriate",,,
pixel,2,215,taesoo,7291,"""focusing too much on these commonalities while ignoring the unique facial and body proportions of a whippet"": Provides more information about why the model might have been confused but the explanation lacks detail.",focusing too much on these commonalities while ignoring the unique facial and body proportions of a whippet,,Model's reasoning
pixel,4,222,hyehyun,7291,"focusing too much on these commonalities : This expression didn't give me any idea. I also expected information about difference between two.
 ignoring the unique facial and body proportions of a whippet.: what difference?",,focusing too much on these commonalities,
pixel,2,186,jaesang,7291,"The model may have been misled by the similarity in body structure and tail shape between the two breeds: explaining why it missclassified

ignoring the unique facial and body: not clear",The model may have been misled by the similarity in body structure and tail shape between the two breeds,ignoring the unique facial and body,
pixel,2,47,Gosu,7291,It is more concisely explaining the difference.,,,
pixel,3,115,Sehoon,7291,There are a lot of breeds having similar body and tail. This explanation doesn't help us to find the correct answer,,,
pixel,3,36,sean,7291,"Comparison is good, but a but vague.",,,
pixel,1,262,Jiho Kim,7291,"The model may have been misled by the similarity in body structure and tail shape between the two breeds, focusing too much on these commonalities while ignoring the unique facial and body proportions of a whippet.

-> suggests more clues than other explanations","The model may have been misled by the similarity in body structure and tail shape between the two breeds, focusing too much on these commonalities while ignoring the unique facial and body proportions of a whippet.",,
pixel,1,46,Shujun,7291,They are truly very common in these body parts,,,
pixel,3,80,daeun,7291,They don't explain what is those unique facial and body proportions of a whippet,,,
pixel,2,86,minju,7291,focusing too much on these commonalities : like it -- I can guess the reason for error,focusing too much on these commonalities,,
pixel,3,99,Daeheon Jeong,7291,ignoring the unique facial and body proportions: no specific description on how the shape is unique,,ignoring the unique facial and body proportions,
pixel,2,150,taesoo,11513,"""ignoring the broader body shape and distinctive spotted pattern."": Provides good explanation of what made the model confused but also what it missed.",,ignoring the broader body shape and distinctive spotted pattern,
pixel,2,293,hyehyun,11513,"The model may have been misled by the specific details of the head and body, focusing too narrowly on these areas while ignoring the broader body shape and distinctive spotted pattern.: Doesn't give the information about leopard of cheetah, but can know the reason why model missed the answer.",,"The model may have been misled by the specific details of the head and body, focusing too narrowly on these areas while ignoring the broader body shape and distinctive spotted pattern",
pixel,3,74,eunyoung,7291,does not explain the shared/different traits between whippet and greyhound,,,
pixel,3,87,yoonseo,7291,body structure and tail shape between the two breeds: how they are similar is not shown,,body structure and tail shape between the two breeds,
pixel,2,151,taesoo,11533,"""failed to recognize the cheetah's unique physical characteristics such as its long legs"": Explains why the model was confused but also what it missed.",,failed to recognize the cheetah's unique physical characteristics such as its long legs,
pixel,3,9,daeun,11513,Too vague,,,
pixel,3,32,sean,11513,"A bit general. (""head and body"")",,head and body,
pixel,3,98,Jenny,7291,"- misled by the similarity in body structure and tail shape between the two breeds:  sounds right
",misled by the similarity in body structure and tail shape between the two breeds,,
pixel,2,145,Heechan,7291,while ignoring the unique facial and body proportions of a whippet: Good because it suggest the possible reason but it seems common trait of both,while ignoring the unique facial and body proportions of a whippet,,
pixel,1,109,Gosu,11513,It is explaining with well-known common knowledge on the difference of them. So I could understand it better.,,,
pixel,1,143,Saelyne,11533,failed to recognize the cheetah's unique physical characteristics such as its long legs.: explains the unique characteristic of the true class,,,
pixel,3,76,Daeheon Jeong,11513,specific details of the head and body: no description of what the detail is.,,specific details of the head and body,
pixel,3,224,hyunwoo,7291,imilarity in body structure and tail shape between the two breeds: this part helps why the model got confused ignoring the unique facial and body proportions of a whippet.: too abstract to understand why the model made error,,imilarity in body structure and tail shape between the two breeds: this part helps why the model got confused ignoring the unique facial and body proportions of a whippet,
pixel,2,151,Sehoon,11513,"It is kind of similar to explanation 2, but is more dense. However, I'm not sure whether ""broader body shape and distinctive spotted pattern."" is true.",,broader body shape and distinctive spotted pattern,
pixel,1,150,taesoo,4351,"""while ignoring the body and tail feathers that are more specific to geese."": Hallucination but more detailed information about what the model missed.",,while ignoring the body and tail feathers that are more specific to geese,
pixel,1,31,eunyoung,11513,Concise but still got the point,,,
pixel,1,175,hyehyun,11533,but failed to recognize the cheetah's unique physical characteristics such as its long legs.: easy and clear to understand the reason why. also can use as way to improve model,but failed to recognize the cheetah's unique physical characteristics such as its long legs,,
pixel,2,29,daeun,11533,its long legs' part is vague,,,
pixel,2,104,Hayeon,7291,which can be easily confused with :  I prefer to getting explanation for potential reason for the reason,,which can be easily confused with,
pixel,1,127,bekzat,7291,"i like that it explains the commonalities and unique features of whippet
i don't like that this explanation is less actionable.",,,
pixel,2,84,sean,11533,"""cheetah's unique physical characteristics such as its long legs"" --> a bit general.",,cheetah's unique physical characteristics such as its long legs,
pixel,2,131,jaesang,11513,broader body shape and distinctive spotted pattern: high level difference which makes it difficult for the user to understand/learn,,broader body shape and distinctive spotted pattern,
pixel,3,60,Seungju,11513,too short and omited unclear which features they focused on.,,,
pixel,1,292,Jiho Kim,11513,"The model may have been misled by the specific details of the head and body, focusing too narrowly on these areas while ignoring the broader body shape and distinctive spotted pattern.

-> i don't know if this explanation can be truly applied to compare two, but the aspects are most diverse.",,"The model may have been misled by the specific details of the head and body, focusing too narrowly on these areas while ignoring the broader body shape and distinctive spotted pattern",
pixel,2,5,Shujun,11513,Maybe,,,
pixel,2,108,Sehoon,11533,"It has more details like ""fur pattern and long legs"" than explanation 2, giving hints to correct the answer.",fur pattern and long legs,,
pixel,2,85,minju,11513,specific details of the head and body: It seems like detail part of error and reason.,specific details of the head and body,,
pixel,1,290,hyehyun,4351,"The model's misclassification likely occurred due to its focus on the neck and head, which are shared characteristics with both geese and swans,: Can know the reason I like it!
ignoring the body and tail feathers that are more specific to geese: Can also imagine how I can revise the model!","The model's misclassification likely occurred due to its focus on the neck and head, which are shared characteristics with both geese and swans",,
pixel,3,89,hyunwoo,11513,the specific details of the head and body: too abstract to understand why the model erred,,the specific details of the head and body,
pixel,3,181,yoonseo,11513,"specific details of the head and body : not specific enough to be persuaded
ignoring the broader body shape and distinctive spotted pattern. : not specific enough to be be persuaded",,specific details of the head and body,
pixel,4,36,Gosu,11533,There is no full explanation enough.,,,
pixel,1,171,Heechan,11513,focusing too narrowly on these areas while ignoring the broader body shape and distinctive spotted pattern: Better because it can derive possible aid to solve the problem.,focusing too narrowly on these areas while ignoring the broader body shape and distinctive spotted pattern,,
pixel,1,53,eunyoung,11533,"short, but got the points (commonality, differences) ",,,
pixel,1,52,sean,4351,Explained both similar / Specific (different) things,,,
pixel,3,44,Shujun,11533,this is a painting maybe wrong in body scale,,,
pixel,2,88,Daeheon Jeong,11533,detailed fur pattern and overall shape: unclear about how the fur pattern is different.,,detailed fur pattern and overall shape,
pixel,1,78,Sehoon,4351,"It clearly states where the model should focus on ""the body and tail feathers""",,the body and tail feathers,
pixel,1,286,Jiho Kim,11533,"The model may have been misled by the detailed fur pattern and overall shape, which are common to both leopards and cheetahs, but failed to recognize the cheetah's unique physical characteristics such as its long legs.

-> It shows more detailed explanation on physical characteristics.","The model may have been misled by the detailed fur pattern and overall shape, which are common to both leopards and cheetahs, but failed to recognize the cheetah's unique physical characteristics such as its long legs.",,
pixel,3,98,Jenny,11513,ignoring the broader body shape : this is not visible in the image so unlikely to be the reason.,,ignoring the broader body shape,
pixel,2,40,jaesang,11533,long legs: image doesn't show full legs,,long legs,
pixel,3,73,Gosu,4351,I can focus on neck and head with this explanation but what specifically?,,,
pixel,2,87,bekzat,11513,i don't like that the explanation is more abstract and less precise compared to others.,,,
pixel,1,106,Daeheon Jeong,4351,"due to its focus on the neck and head: most likely explanation, suggesting how and why the error occurred.",,,
pixel,3,212,Hayeon,11513,"focusing too narrowly on these areas while ignoring the broader body shape and distinctive spotted pattern : I'm not sure even though it didn't ignored the body shape, it would not be able to distinguish anyway. ",,focusing too narrowly on these areas while ignoring the broader body shape and distinctive spotted pattern,
pixel,1,145,Heechan,11533,failed to recognize the cheetah's unique physical characteristics such as its long legs: Good because it shows clear reason to discriminate them.,failed to recognize the cheetah's unique physical characteristics such as its long legs,,
pixel,3,129,hyunwoo,11533,but failed to recognize the cheetah's unique physical characteristics such as its long legs.: too abstract to tell the difference,,but failed to recognize the cheetah's unique physical characteristics such as its long legs,
pixel,1,52,jaesang,4351,body and tail feathers: clear aspects in differences,body and tail feathers,,
pixel,2,30,Shujun,4351,complete and good explaination,,,
pixel,2,266,minju,11533,"detailed fur pattern and overall shape: less specific compared to explanation 1 (e.g., mentioning about color)
 failed to recognize the cheetah's unique physical characteristics such as its long legs.: specific reason for error, but limited compared to 'slender'..?
",,detailed fur pattern and overall shape,
pixel,1,137,bekzat,11533,"i like that it tries to highlight the commonalities and differences
i don't like that it misrepresents the painting (i.e., no long legs).",,,
pixel,2,154,Jenny,11533,"- failed to recognize the cheetah's unique physical characteristics such as its long legs:  this is not clearly displayed in drawing, so that makes sense.",failed to recognize the cheetah's unique physical characteristics such as its long legs,,
pixel,3,64,yoonseo,4351,"""how it should look like"" to be classified as goose is not there",,,
pixel,1,113,Heechan,4351,while ignoring the body and tail feathers that are more specific to geese.: Good because the model can draw wider,while ignoring the body and tail feathers that are more specific to geese,,
pixel,1,26,Hayeon,11533,simple and straighforward,,,
pixel,3,123,hyunwoo,4351,ignoring the body and tail feathers that are more specific to geese.: body and tail feathers are not visible in the picture,,ignoring the body and tail feathers that are more specific to geese,
pixel,1,199,Jiho Kim,4351,"to its focus on the neck and head, which are shared characteristics with both geese and swans, while ignoring the body and tail feathers that are more specific to geese.

-> I found no error in this.","to its focus on the neck and head, which are shared characteristics with both geese and swans, while ignoring the body and tail feathers that are more specific to geese.",,
pixel,2,184,bekzat,4351,"i like that it highlights commonalities
i like that it mentions goose's unique features
i don't like that the explanation is wrong, since body and tail are not depicted in the picture.",,,
pixel,2,141,minju,4351,"the body: image only contained small part of body, so it's not compelling reason.
ignoring the body and tail feathers: missing the color part",,ignoring the body and tail feathers,
pixel,1,88,Jenny,4351,"-  due to its focus on the neck and head, which are shared characteristics : sounds fair","due to its focus on the neck and head, which are shared characteristics",,
pixel,2,1,hayeon2,7291,x,,,
pixel,3,1,hayeon2,11513,x,,,
pixel,3,1,hayeon2,11533,x,,,
pixel,1,60,hayeon2,4351,clear explanation including the similarities and differences,,,
retrieval,4,66,taesoo,7291,WHOLE: This doesn't really affect the classification of the image.,,Harsh shadows create false edges on the object.,
retrieval,3,80,hyehyun,7291,Harsh shadows create false edges on the object.: clear reason. focused on reason,Harsh shadows create false edges on the object,,
retrieval,4,47,jaesang,7291,shadows: can't be a different trait of species.,,shadows,
retrieval,4,139,Gosu,7291,"It can explain why it says wrong answer, but cannot explain why it says 'greyhound', which is very important information to fix this model.",,,
retrieval,4,124,Sehoon,7291,I'm not sure if it is the right reason and also if knowing it helps me to identify the correct answer. Also it is too short.,,,
retrieval,4,76,Eunhye,7291,This difference probably would not have caused the error in classification.,,,
retrieval,4,12,sean,7291,Not helpful.,,,
retrieval,4,71,Saelyne,7291,"""Harsh Shadows"": shadows exist in any object, not specific to this one.",,Harsh Shadows,
retrieval,4,9,Minbeom,7291,too short,,,
retrieval,4,89,Jiho Kim,7291,"Harsh shadows create false edges on the object.

-> limited explanations in element level",,"Harsh shadows create false edges on the object.
",
retrieval,4,24,Shujun,7291,There is not much shadow,,,
retrieval,4,17,daeun,7291,False information,,,
retrieval,4,65,minju,7291," false edges: i'm not sure why it is 'false', lack of explanation",,false edges,
retrieval,4,36,Daeheon Jeong,7291,Harsh shadows: unrelated information,,Harsh shadows,
retrieval,4,31,taesoo,11513,WHOLE: Provides no explanation.,,Image is an oil painting with heavy brush strokes,
retrieval,4,73,hyehyun,11513,Image is an oil painting with heavy brush strokes.: so...what..? no help!,,Image is an oil painting with heavy brush strokes,
retrieval,4,89,Saelyne,11513,oil painting with heavy brush strokes.: do not explain about the misclassification reason,,oil painting with heavy brush strokes,
retrieval,4,44,eunyoung,7291,does not explain why that false edge matters,,,
retrieval,4,53,yoonseo,7291,false edges: the edges of image don't matter at all,,false edges,
retrieval,4,59,Eunhye,11513,This does not make the difference in a cheetah and leapord,,,
retrieval,4,24,taesoo,11533,WHOLE: This is not true.,,An adversarial patch is placed in the frame to fool the AI.,
